OperatorInfo;UsageTypeTitle;AddressInfo/Title;AddressInfo1;AddressInfo2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;ConnectionType;ConnectionAmps;ConnectionVoltage;ConnectionPowerKW
(Unknown Operator);Private - For Staff, Visitors or Customers;Puerto de Málaga;Paseo del Muelle Uno;;3.67168E+14;-4.41919E+14;1;CEE 7/4 - Schuko - Type F;16;230;3.7
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Rectoral de Ansemil;SN Lamas de Ansemil;;42136144;-794025;1;Tesla (Model S onwards);32;230;14
(Unknown Operator);Private - For Staff, Visitors or Customers;Talleres Valmojado Renault;Calle Cdad. Real, 31;;402128383;-40871942;1;CEE 3 Pin;;230;
Renault;Private - For Staff, Visitors or Customers;Moyauto Navalmoral Renault;Carr. Madrid-Lisboa, 106;;3989652;-55441399;1;Mennekes (Type 2);32;230;22
(Unknown Operator);Private - For Staff, Visitors or Customers;Marcesa Servicios Renault;Av. Badajoz, 3;;3.94535E+14;-6.38718E+14;1;CEE 7/4 - Schuko - Type F;;230;
(Unknown Operator);Private - For Staff, Visitors or Customers;Motor Arcos S. L. Concesionario Renault-Dacia;Calle Alferez Diaz, 40A;;3.67501E+14;-5.82035E+14;1;Mennekes (Type 2);32;400;22
(Unknown Operator);Private - For Staff, Visitors or Customers;Lidl Las Palmas;Av. Juan Carlos I, 5;;2.81183E+13;-1.54452E+14;6;Mennekes (Type 2);2;230;7.4
(Unknown Operator);Private - For Staff, Visitors or Customers;El Corte Ingles - Hipercor Córdoba Ronda Norte;Ronda de Poniente - Ctra Sta. MÂª de Trassiera, s/n;;378950073;-4.80908E+14;3;CEE 7/4 - Schuko - Type F;;;
(Unknown Operator);Private - For Staff, Visitors or Customers;Mercadona Tordera;Avinguda de Fibracolor, 15-17;;4.16956E+14;2.72438E+14;1;Mennekes (Type 2);;;
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;H10 Tribeca;5 Calle de Pedro Teixeira;;40455272;-3694315;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Golf la Roqueta;KM 24 Ctra. Abrera A Manresa C-55;;41685737;1835655;1;Tesla (Model S onwards);32;400;22
(Business Owner at Location);Private - For Staff, Visitors or Customers;Nissan Alcala de Henares;VÃ­a Complutense, 105-107;;4.04899E+14;-3.35429E+14;1;CHAdeMO;;;50
(Unknown Operator);Public - Notice Required;Gener Casadevall Sa;Carrer del Castell, 5;;4.18902E+14;2.87616E+14;1;Mennekes (Type 2);32;380;22
(Business Owner at Location);Public;Parking San Pedro;Calle San Pedro, 29-31;;4.00803E+14;-2.12908E+14;1;CEE 7/4 - Schuko - Type F;16;230;2.76
(Unknown Operator);Private - For Staff, Visitors or Customers;Parking Apartamentos Islamar Golf;Avenida del Rio Frio;;372083742;-72295676;10;CCS (Type 2 Version of Combined Coupler);32;380;22
(Unknown Operator);(Unknown);Gasolinera Manoteras;Calle del Arroyo de Valdebebas;;4.04895E+14;-3.66702E+14;1;CEE 7/4 - Schuko - Type F;;230;
(Business Owner at Location);Public;Saltoki;Calle de Escatrón;;414088434;2.13977E+14;1;Mennekes (Type 2);32;400;22
LIVE Barcelona;Public - Membership Required;TRIO Sant Joan DespÃ­;Carrer de la Tv3. 1;;4.13743E+13;2.07225E+14;1;CHAdeMO;;;50
Urbener EnergÃ­a;Public - Membership Required;Electrinera Avia;Barrio Helguera, 90A;;4.3354E+14;-4.09323E+14;1;Mennekes (Type 2);32;380;22
(Business Owner at Location);Private - For Staff, Visitors or Customers;C. Europa/C. Dr. IbáÃ±ez;Carrer Europa, 39X;;4.13875E+14;2.13187E+14;1;CEE 7/4 - Schuko - Type F;16;230;3.68
Viesgo (Spain);Public - Membership Required;Parque Tecnológico Santander;Calle Albert Einstein;;4.34548E+14;-3.87802E+14;1;Mennekes (Type 2);;;
(Unknown Operator);Public - Membership Required;Electrolinera AMB 04 - carrer del Progrés - GavÃ ;Carrer del ProgrÃ¨s, 54;;4.12972E+14;2.00822E+14;1;CHAdeMO;;400;50
(Unknown Operator);Public;Finca equilibrium;Calle de Cirujeda;;4.0821E+14;-3.55963E+14;1;CEE 7/4 - Schuko - Type F;16;230;3.7
Urbener EnergÃ­a;Public - Membership Required;Benahavis, Avenida de AndalucÃ­a, 11;Av. de Andalucia, 11;;365233032;-5.0458E+14;2;Mennekes (Type 2);;;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Punto de recarga FENIE Arenal - Plaza Major;Carrer Maria AntÃ²nia SalvÃ , 57;;3.95005E+14;2.756E+14;5;CEE 7/4 - Schuko - Type F;10;230;2.3
(Unknown Operator);Public - Membership Required;Electrolinera 05 AMB - MontigalÃ  - Badalona;Carrer d'Anna Tugas, 26;;4.1455E+14;2.2268E+14;1;CCS (Type 2 Version of Combined Coupler);;;
Fenie EnergÃ­a (Spain);Public - Membership Required;Fenie Arenal Terral;Carrer Terral, 25;;3.94999E+14;2.75349E+14;1;CEE 7/4 - Schuko - Type F;10;230;2.3
(Unknown Operator);Private - For Staff, Visitors or Customers;Tesa energÃ­a;Calle Uruguay, 36;;371494677;-3.6355E+14;1;CEE 7/4 - Schuko - Type F;16;220;8.5
Fenie EnergÃ­a (Spain);Public - Membership Required;Fenie Pla de na Tesa Son Alegre;CamÃ­ de Son Alegre, 2;;3.95984E+14;2.70809E+14;1;Mennekes (Type 2);16;230;3.45
LIVE Barcelona;Public - Membership Required;Sant Fruitós del Bages;Ctra. de Vic, 96;;4.17516E+14;1.87697E+13;1;Mennekes (Type 2);32;400;22
(Unknown Operator);Public - Membership Required;Poliesportiu de Sant Joan de Labritja, Eivissa;SN-1;;3.90593E+14;1.46356E+14;1;Mennekes (Type 2);32;230;7.2
Urbener EnergÃ­a;Public - Membership Required;Benahavis - Av. La Moraleda;Av. La Moraleda, 1;;3.6525E+14;-5.04461E+14;1;Mennekes (Type 2);32;400;22
Urbener EnergÃ­a;Public - Membership Required;Avda de Andalucia 11;Av. de Andalucia, 11;;365233032;-5.0458E+14;1;Mennekes (Type 2);32;400;22
Fenie EnergÃ­a (Spain);Public - Membership Required;Fenienergia;Carrer Foradada;;3.96415E+14;2.64283E+14;1;CEE 7/4 - Schuko - Type F;10;230;2.3
(Unknown Operator);Public - Membership Required;Balanguera P.A.C Centro Salud Marti Serra;Carrer Balanguera, 6;;3.96017E+14;2.68782E+14;1;CEE 7/4 - Schuko - Type F;16;230;3.7
(Unknown Operator);Public - Membership Required;Benahavis - Av. La Moraleda;Av. La Moraleda, 1;;3.6525E+14;-5.04477E+14;1;Mennekes (Type 2);32;400;22
(Unknown Operator);Private - For Staff, Visitors or Customers;Rotonda Cristo Rey;Plaza Cristo Rey, 5;;4.15066E+14;-5.73617E+14;1;CEE 7/4 - Schuko - Type F;10;230;2.3
GIC;Public - Membership Required;Paseo de la Castellana 33;Paseo de la Castellana 33;;4.04319E+14;-3.68915E+14;1;Mennekes (Type 2);;;
GIC;Public - Membership Required;Calle Santa Engracia 115;Calle Santa Engracia 115;;4.04382E+14;-3.70028E+14;1;Mennekes (Type 2);;;
GIC;Public - Membership Required;Calle Bueso Pineda 29;Bueso Pineda 29;;404539366;-3.65569E+14;1;Mennekes (Type 2);32;230;7.3
(Unknown Operator);Public - Pay At Location;Veefil-19107;Golfplatz Son Gual;;3.95664E+14;2.80557E+14;1;CCS (Type 2 Version of Combined Coupler);;;50
(Unknown Operator);Public - Pay At Location;Veefil-15807;Port Adriano;;3.94872E+14;2.47761E+14;1;CCS (Type 2 Version of Combined Coupler);;;50
GIC;Private - For Staff, Visitors or Customers;Calle de Goya 36;Calle Goya 36;;4.0425E+14;-3.68108E+14;1;Mennekes (Type 2);16;230;3
GIC;Private - For Staff, Visitors or Customers;Calle de Génova 24;Calle Génova 24;;4.04258E+14;-3.6923E+14;1;Mennekes (Type 2);20;230;4.6
GIC;Public - Membership Required;Plaza Lealtad;Plaza de la Lealtad 3;;4.04161E+14;-3.69217E+14;1;Mennekes (Type 2);;;
GIC;Public - Membership Required;Calle Cerro de la Plata 4;Calle Cerro de la Plata, 4;;4.04E+14;-3.6751E+14;1;Mennekes (Type 2);;;
GIC;Public - Membership Required;Ronda de Valencia 1;Ronda de Valencia 1;;4.04057E+14;-3.69978E+13;1;Mennekes (Type 2);;;
GIC;Public - Membership Required;Paseo de la Castellana 259B;Paseo de la Castellana 259;;4.04781E+14;-3.68646E+13;1;Mennekes (Type 2);;;
(Unknown Operator);Public - Membership Required;Ayuntamiento de Bunyola;Carrer del Garrigó, 2;;3.96913E+14;2.70246E+13;1;Mennekes (Type 2);;;22
(Unknown Operator);Public - Membership Required;Campo FÃºtbol Bunyola;Diseminado Diseminados, 286;;3.96869E+14;2.70017E+14;1;CEE 7/4 - Schuko - Type F;16;220;3
(Unknown Operator);Public - Membership Required;ASEMIET;Calle Nicolás Copérnico, 20;;395031777;-63655129;1;Mennekes (Type 2);32;230;7.4
Fenie EnergÃ­a (Spain);Public - Membership Required;Boadilla del Monte - Camino de San Sebastián;Camino de San Sebastián, 3;;4.04075E+14;-3.87742E+14;2;Mennekes (Type 2);32;230;22
(Unknown Operator);(Unknown);Centro Comercial El Mirador - Bricomart;Av. Santa Rita de Casia, 55;;28031955;-15403461;2;Mennekes (Type 2);32;400;22
(Unknown Operator);(Unknown);El RomanÃ­;CamÃ­ de Les Conilleres a Cal Torres;Cal Caldes;413667097;1.62796E+14;2;CEE 7/4 - Schuko - Type F;;230;
(Unknown Operator);(Unknown);Hospital de Cruces;Plaza de Cruces, S/N;Gurutzeta - Cruces;432814268;-2.98361E+14;4;Mennekes (Type 2);;;
Tesla Motors (Worldwide);Public - Membership Required;Albacete Supercharger;KM 52 la Gineta;;39134675;-2039013;8;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Centro Comercial Garbera;Centro Comercial Garbera;;43309108;-1943774;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Parquesur;S/N Avda Gran Bretana;;40340227;-3733088;1;Mennekes (Type 2. Tethered Connector);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Parador de Argomaniz;Carretera Nacional 1 KM 364;;42868135;-2541371;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Vincci Ciudad de Salamanca;16-20 Av. de Lasalle;;40955331;-5678421;1;Tesla (Model S onwards);32;230;14
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hospes Palacio de Arenales & Spa;52 Ctra. Valencia de Alcantara;;39461048;-6432761;1;Tesla (Model S onwards);16;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Parador de Cordoba;37 Avenida de la Arruzafa;;37906313;-4800545;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel el Balcon de la Vera;KM. 75;;40132696;-5416378;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Bellavista del Jardin del Norte;88 Calle d'Enric Granados;;41392918;2155742;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Silken Amara Plaza;7 Plaza Pio Xii;;43307583;-1978262;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Rigat Park & Spa Hotel;1 Avinguda America;;41695214;2833118;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Sant Cugat;2 Calle Cesar Martinell;;4147098;2085902;1;Tesla (Model S onwards);16;400;11
Amersam;Public - Membership Required;Tecnoparc;Avinguda Bellissens, 42;;411436795;1.12898E+14;2;Mennekes (Type 2);32;220;7
Tesla Motors (Worldwide);Public - Membership Required;Hotel Vincci Maritimo;340 Carrer de Llull;;41408258;221174;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Parador de Plasencia;S/N Plaza San Vicente Ferrer;;40029114;-6093801;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;El Corte Ingles Sanchinarro;1 - 1a Planta Color Amarillo Calle Margarita de Parma;;4049766;-3661081;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;El Corte Ingles Goya;76 - 1a Planta Click & Car Calle de Goya;;40424557;-3673235;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Palafox;S/N Calle Marques Casa Jimenez;;4165042;-885434;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;El Corte Ingles Diagonal;617 - 1a Planta Avenida Diagonal;;41387028;2128863;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Centro Comercial la Maquinista;2 - Planta -1;;41439933;2198663;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;La Costa Beach & Golf Resort;3 Avenida Arenales de Mar;;41995598;3197455;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;El Corte Ingles Bilbao;7-9;;43260989;-2929411;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Terra Remota;CR. Capmany;;4236446;2951688;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Paradores de Alcala de Henares;8 Calle Colegios;;40481554;-3361708;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Hotel Villa Soro;61 Avenida Ategorrieta;;43322039;-1963838;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Bodega Hotel Eguren Ugarte;Carretera A-124;;42569385;-2614332;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Fairmont Barcelona;661-671 Avda. Diagonal;;41381462;210937232;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Cullera Holiday;27 Avenida del Raco;;3917723834;-2426217052;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Museo Automovilistico de Malaga Y Coleccion del Muse;15 Av de Sor Teresa Prat;;3670023;-4439113;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Monument Mas Passamaner - Spa & Restaurant;52 Cami de la Serra;;4118652;1160087;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Bodegas Torres Visitors Centre;Finca el Maset S/N;;41349488;1666273;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Circuit de Barcelona-Catalunya;S/N Camino Mas Moreneta;;4157014;2258753;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Intercontinental Madrid;49 Paseo de la Castellana;;40436415;-3690211;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Carlos Iii;Carretera de Sant Carles A Alcanar;;40582393;556056;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Villa Padierna Palace Hotel;Villa Padierna Palace Hotel;;36476715;-5053016;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel H10 Andalucia Plaza;Calle Violetas S/N;;36489508;-4961662;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hotel Chalet Val de Ruda;Baqueira Beret - Edif.val de Ruda;;42699976;931197;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Cullar Supercharger;KM58;;37554018;-2613742;8;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Restaurante Atalaia;69 Ventas Auzoa;;43322415;-1833031;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;"Parador de Cadiz - ""hotel Atlantico""";9 Avenida Duque de Najera;;36535022;-6305651;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hilton Madrid Airport;2 Avenida de la Hispanidad;;40451867;-3585918;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Notice Required;Hotel Spa Acevi Val d'Aran;20 Batlle Calbeto I Barra;;42705476;795908;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Hospes Amerigo;7 Calle Rafael Altamira;;38344504;-482544;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Torre del Remei;2 Cami del Remei;;42420229;1891444;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Hotel Hospes Palau de la Mar;14 Avinguda de Navarro Reverter;;39470993;-366654;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Vincci Selección Posada del Patio;7 Pasillo de Sta. Isabel;;36720374;-4424965;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Westin la Quinta;Urbanizacion la Quinta Golf;;36513399;-4994897;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Las Arenas Balneario Resort;22 Carrer d'Eugénia ViÃ±es;;39466282;-324696;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Parador Lerma;Plaza Mayor N1;;42025776;-3754663;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Notice Required;Hotel Santos Nelva;5 Avenida Primero de Mayo;;3798975;-1116793;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Hospes Maricel & Spa Mallorca;11 Carretera Andratx;;39547341;2596375;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel DoÃ±a Monse;75 Avenida de Orihuela;;37965371;-733262;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Ariza Supercharger;Carretera de Madrid 0197;;41313192;-2002201;6;Tesla Supercharger;;;120
Tesla Motors (Worldwide);Public - Membership Required;Ayuntamiento de Arties;6 Calle Mola;;42699918;873263;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Parador de Turismo de Salamanca;2 Calle Teso de la Feria;;40953004;-567238;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Palacio de los Patos SL;1 Solarillo de Gracia;;37172496;-3603465;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Jumeirah Port Soller Hotel & Spa;Calle Belgica S/N;;39802505;26961;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Hesperia Madrid;57 Paseo de la Castellana;;40438894;-3691474;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Hotel Spa Relais & Chateaux A Quinta Da Auga;23B Paseo de Amaia;;42870401;-8582262;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Claridge;6 Plaza Conde de Casal;;40406371;-3669528;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Vincci Envia Golf;Avenida de la Envia;;36836896;-2618703;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Aparcamiento Plaza de Euskadi;Aparcamiento Plaza de Euskadi;;43267679;-2937598;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Hospes Las Casas del Rey de Baeza;2 Plaza Jesus de la Redencion;;37391986;-5986184;1;Tesla (Model S onwards);32;400;22
(Business Owner at Location);Public - Pay At Location;Camping Les Medes;Paratge del camp de l'Arbre, sn;;4.20428E+16;3.18468E+16;2;Mennekes (Type 2);32;230;7.4
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Occidental Bilbao;40 Avenida Zumalacarregui;;43257504;-2912844;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;La Pleta By Rafael Hoteles;S/N Ctra. Baqueira A Beret;;42703118;934999;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Granada Palace, Suite Business & Spa;Calle Diego de Siloe S/N;;37138707;-3569028;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Gran Hotel Domine;61 Alameda Mazarredo;;43267523;-2933754;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Valbusenda Hotel Bodega & Spa;S/N Ctra. de Toro-Peleagonzalo;;41483548;-5495069;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Vincci Seleccion Estrella del Mar;Vincci Seleccion Estrella del Mar;;36495434;-4783951;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Urso Hotel & Spa;Calle Mejia Lequerica 8;;40426818;-3698358;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel los Nogales;30 Calle Nugueret;;42407936;397881;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Wellington Madrid;8 Calle Velazquez;;40422137;-3684316;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Casona de Labrada;6 Labrada;;4334095;-715912;1;Tesla (Model S onwards);32;400;22
(Business Owner at Location);Private - For Staff, Visitors or Customers;Nissan CYASA;CerdeÃ±o, 41;;4.33705E+14;-5.8177E+15;1;CHAdeMO;125;400;50
GIC;Public - Membership Required;Shell Av. Machu Pichu;Av. de Machupichu, 105;;404648787;-3.63615E+14;1;CHAdeMO;125;400;50
;Private - For Staff, Visitors or Customers;Nissan Autoagricola Tudela;Ctra. de Zaragoza, km. 98;;420266738;-1.58171E+15;1;CHAdeMO;125;400;50
;Private - For Staff, Visitors or Customers;Nissan Rimauto;Av. los Hostales, 176-188;;4.03601E+15;-1.13878E+16;1;CHAdeMO;125;400;50
(Unknown Operator);Private - For Staff, Visitors or Customers;Nissan Santi Enrique;Ctra. Masnou-Granollers, km. 15.2;;4.15898E+15;2.28552E+14;1;CHAdeMO;125;400;50
;Private - For Staff, Visitors or Customers;Nissan Olot Motor;Carretera Santa Coloma, s/n;;421642812;24719581;1;CHAdeMO;125;400;50
LIVE Barcelona;Public - Membership Required;EdRR Sant Joan DespÃ­;Carrer de la Tv3. 1;;4.13743E+15;2.0722E+16;1;CHAdeMO;125;400;50
LIVE Barcelona;Public - Membership Required;EdRR GavÃ ;Avinguda de Bertran i GÃ¼ell 41;;412980109;2.01094E+16;1;CHAdeMO;125;400;50
;Public - Pay At Location;Repsol Los Pinos;Av. de los Pinos, 4;;3.7998E+14;-1.13896E+14;1;CHAdeMO;125;400;50
Urbener EnergÃ­a;(Unknown);Zem2all Malaga airport;59 Calle Ramal Comandante GarcÃ­a Morato;Malaga Airport;3.6675E+14;-4.48628E+14;1;CHAdeMO;;;50
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel H10 Cubik;Via Laetana 69;;41388003;2173182;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Restaurant Hotel Abac;1 Av Tibidabo;;41410773;213634;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Avenida Sofia Boutique & Spa;12 Avenida Sofia;;41234847;1804106;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Abadia Retuerta Ledomaine;Ctra. N-120 KM 332;;41616849;-4411345;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Miramar Barcelona;3 Plaza Carlos Ibanez;;41370589;2170855;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Muga de Beloso-Alma Pamplona;11 Beloso Bajo;;42819576;-1623535;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Mas Salagros, Ecoresort & Ancient Baths;Riera de Vallromanes;;41527452;2310446;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Castillo de Gorraiz Hotel Golf & Spa;78 Avenida de Egues;;42821776;-1579254;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Arts Barcelona;19 Calle Marina;;41387161;2196535;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hostal Spa EmpÃºries;Platja Portitxol;;42131179;3121312;2;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Mas de Torrent Hotel & Spa;Afueras de Torrent;;41954009;3124875;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Reina Petronila;2 Avenida Alcalde Sainz de Varanda;;41638939;-908457;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Vincci Frontaura;332 Paseo de Zorilla;;4162165;-4748479;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Maria Cristina A Luxury Collection;4 Republica Argentina;;4332158;-1980658;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Viura;Calle Mayor;;42547718;-2665256;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;La Torre del Visco;Partida Torre del Visco s/n;;40858754;76443;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Rector;10 Paseo del Rector Esperabe;;40958991;-5665737;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Marques de Riscal, A Luxury Collection Hotel;Calle Torrea;;42511366;-2617919;2;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Hotel Acevi Villarroel;106 Villarroel;;41385704;2157248;1;Tesla (Model S onwards);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Hotel Santa Marta;Playa de Santa Cristina;;41689476;2818164;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Private - For Staff, Visitors or Customers;Palacio de Canedo;s/n Calle la Iglesia;;42645208;-670519;1;Tesla (Model S onwards);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Lleida Supercharger;S N La Variant;;41663959;605371;6;Tesla Supercharger;;;120
